# Menlo Systems Time Domain Spectrometer
# Program Version 0.9.10 
# Start: 20 ps, Average over 60 waveforms. Date: 2021-10-27
# Time [ps] 	 THz Signal [a.u.]
0.01334256	0.00000000
0.04669897	0.00000001
0.08005538	0.00000001
0.11341179	-0.00000010
0.14676820	-0.00000054
0.18012461	0.00000009
0.21348102	0.00000065
0.24683743	0.00000095
0.28019384	-0.00000065
0.31355025	-0.00000091
0.34690666	0.00000049
0.38026307	0.00000094
0.41361948	-0.00000090
0.44697589	-0.00000049
0.48033230	-0.00000235
0.51368871	-0.00000796
0.54704512	-0.00000612
0.58040153	0.00000043
0.61375794	0.00000567
0.64711434	0.00000395
0.68047075	0.00001178
0.71382716	-0.00001472
0.74718357	-0.00000190
0.78053998	-0.00000347
0.81389639	0.00001125
0.84725280	-0.00002443
0.88060921	-0.00004685
0.91396562	-0.00002356
0.94732203	-0.00000773
0.98067844	-0.00001187
1.01403485	0.00003191
1.04739126	0.00004421
1.08074767	0.00002392
1.11410408	0.00001620
1.14746049	0.00001360
1.18081690	0.00000945
1.21417331	-0.00000659
1.24752972	0.00000995
1.28088613	0.00001608
1.31424254	0.00000101
1.34759894	-0.00003225
1.38095535	-0.00004153
1.41431176	-0.00007666
1.44766817	-0.00009905
1.48102458	0.00001166
1.51438099	-0.00001922
1.54773740	-0.00002512
1.58109381	-0.00005576
1.61445022	-0.00001511
1.64780663	-0.00002286
1.68116304	0.00002802
1.71451945	0.00000229
1.74787586	-0.00004723
1.78123227	-0.00007937
1.81458868	-0.00002095
1.84794509	-0.00000660
1.88130150	0.00001453
1.91465791	-0.00002156
1.94801432	-0.00003953
1.98137073	-0.00003822
2.01472713	-0.00002849
2.04808354	0.00001661
2.08143995	-0.00012687
2.11479636	-0.00014681
2.14815277	-0.00004392
2.18150918	-0.00007389
2.21486559	-0.00010021
2.24822200	-0.00004237
2.28157841	0.00005000
2.31493482	-0.00001933
2.34829123	-0.00007330
2.38164764	-0.00006755
2.41500405	-0.00005271
2.44836046	-0.00000149
2.48171687	0.00016616
2.51507328	0.00009280
2.54842969	-0.00009727
2.58178610	-0.00017595
2.61514251	-0.00006245
2.64849892	-0.00001732
2.68185533	-0.00002869
2.71521173	-0.00011723
2.74856814	-0.00010595
2.78192455	0.00004244
2.81528096	-0.00001901
2.84863737	-0.00003699
2.88199378	0.00004513
2.91535019	-0.00003941
2.94870660	-0.00031588
2.98206301	-0.00017590
3.01541942	0.00001129
3.04877583	0.00007113
3.08213224	-0.00002408
3.11548865	0.00006645
3.14884506	-0.00009150
3.18220147	-0.00008769
3.21555788	-0.00006764
3.24891429	-0.00026359
3.28227070	-0.00008292
3.31562711	-0.00007876
3.34898352	-0.00019669
3.38233993	-0.00012867
3.41569633	-0.00040520
3.44905274	-0.00024031
3.48240915	0.00037471
3.51576556	0.00038676
3.54912197	0.00002401
3.58247838	-0.00028418
3.61583479	-0.00016160
3.64919120	-0.00003653
3.68254761	0.00010290
3.71590402	-0.00007686
3.74926043	-0.00036112
3.78261684	-0.00013664
3.81597325	-0.00016630
3.84932966	-0.00026061
3.88268607	0.00001030
3.91604248	-0.00000907
3.94939889	0.00009087
3.98275530	0.00000097
4.01611171	0.00003311
4.04946812	-0.00022199
4.08282453	-0.00017312
4.11618093	-0.00003427
4.14953734	-0.00009579
4.18289375	0.00007015
4.21625016	-0.00035403
4.24960657	-0.00022797
4.28296298	0.00010674
4.31631939	0.00021080
4.34967580	-0.00010782
4.38303221	-0.00033813
4.41638862	0.00011008
4.44974503	-0.00013391
4.48310144	-0.00031392
4.51645785	-0.00013062
4.54981426	-0.00001760
4.58317067	-0.00000208
4.61652708	-0.00013579
4.64988349	-0.00023823
4.68323990	-0.00013792
4.71659631	-0.00024514
4.74995272	-0.00016306
4.78330913	0.00019671
4.81666553	-0.00010730
4.85002194	-0.00044514
4.88337835	-0.00026164
4.91673476	-0.00018008
4.95009117	-0.00046221
4.98344758	-0.00024189
5.01680399	-0.00015526
5.05016040	-0.00017550
5.08351681	-0.00040527
5.11687322	-0.00057164
5.15022963	-0.00030743
5.18358604	-0.00026179
5.21694245	-0.00038605
5.25029886	-0.00031585
5.28365527	-0.00039554
5.31701168	-0.00005331
5.35036809	0.00002344
5.38372450	-0.00012901
5.41708091	-0.00023045
5.45043732	-0.00012085
5.48379373	0.00036734
5.51715013	-0.00072884
5.55050654	0.00009166
5.58386295	-0.00022185
5.61721936	-0.00061274
5.65057577	-0.00118771
5.68393218	-0.00043230
5.71728859	-0.00004852
5.75064500	-0.00036131
5.78400141	0.00017611
5.81735782	0.00021252
5.85071423	-0.00027681
5.88407064	-0.00049658
5.91742705	-0.00032891
5.95078346	-0.00013090
5.98413987	-0.00013947
6.01749628	-0.00042069
6.05085269	-0.00035702
6.08420910	-0.00031953
6.11756551	-0.00033143
6.15092192	-0.00037814
6.18427832	0.00031533
6.21763473	0.00012253
6.25099114	-0.00023412
6.28434755	-0.00070690
6.31770396	-0.00031334
6.35106037	-0.00055781
6.38441678	-0.00059171
6.41777319	-0.00068166
6.45112960	-0.00023139
6.48448601	0.00009750
6.51784242	-0.00017005
6.55119883	-0.00062149
6.58455524	-0.00002650
6.61791165	-0.00085819
6.65126806	-0.00029500
6.68462447	0.00019933
6.71798088	-0.00077817
6.75133729	-0.00057833
6.78469370	-0.00036114
6.81805011	-0.00040690
6.85140652	-0.00126056
6.88476292	-0.00094515
6.91811933	-0.00041827
6.95147574	-0.00001787
6.98483215	0.00022173
7.01818856	-0.00012200
7.05154497	-0.00057247
7.08490138	-0.00017116
7.11825779	-0.00003326
7.15161420	0.00088179
7.18497061	0.00046754
7.21832702	-0.00050889
7.25168343	-0.00004984
7.28503984	0.00003928
7.31839625	-0.00002216
7.35175266	-0.00036793
7.38510907	0.00038674
7.41846548	-0.00049406
7.45182189	0.00001463
7.48517830	0.00009724
7.51853471	-0.00057736
7.55189112	-0.00098226
7.58524752	-0.00020501
7.61860393	0.00030545
7.65196034	-0.00049958
7.68531675	0.00014850
7.71867316	0.00049634
7.75202957	-0.00045118
7.78538598	-0.00076596
7.81874239	-0.00006305
7.85209880	0.00033738
7.88545521	0.00031263
7.91881162	0.00011402
7.95216803	-0.00080067
7.98552444	-0.00029666
8.01888085	0.00004203
8.05223726	-0.00067627
8.08559367	-0.00059369
8.11895008	-0.00014354
8.15230649	0.00018327
8.18566290	-0.00011082
8.21901931	0.00024619
8.25237572	-0.00101205
8.28573212	-0.00029405
8.31908853	0.00045063
8.35244494	-0.00089612
8.38580135	-0.00163123
8.41915776	-0.00008112
8.45251417	-0.00042759
8.48587058	0.00063668
8.51922699	-0.00030588
8.55258340	-0.00023178
8.58593981	0.00127878
8.61929622	-0.00048100
8.65265263	-0.00126215
8.68600904	0.00064376
8.71936545	-0.00083724
8.75272186	0.00059356
8.78607827	-0.00093228
8.81943468	-0.00161655
8.85279109	-0.00064062
8.88614750	-0.00002286
8.91950391	-0.00064940
8.95286032	-0.00010457
8.98621672	-0.00114691
9.01957313	-0.00062875
9.05292954	0.00042807
9.08628595	0.00006304
9.11964236	-0.00084197
9.15299877	-0.00107229
9.18635518	-0.00118385
9.21971159	-0.00106696
9.25306800	-0.00093511
9.28642441	0.00010212
9.31978082	0.00064462
9.35313723	0.00014501
9.38649364	-0.00043818
9.41985005	0.00043277
9.45320646	0.00001736
9.48656287	-0.00165614
9.51991928	0.00022469
9.55327569	0.00012955
9.58663210	0.00038531
9.61998851	0.00019108
9.65334492	-0.00040316
9.68670132	-0.00068673
9.72005773	-0.00045227
9.75341414	-0.00036670
9.78677055	0.00043052
9.82012696	-0.00152483
9.85348337	-0.00050574
9.88683978	0.00049288
9.92019619	-0.00063762
9.95355260	-0.00064611
9.98690901	0.00025316
10.02026542	0.00002236
10.05362183	-0.00049875
10.08697824	0.00074912
10.12033465	0.00002657
10.15369106	-0.00099626
10.18704747	-0.00023848
10.22040388	0.00029372
10.25376029	0.00020243
10.28711670	-0.00072302
10.32047311	0.00015555
10.35382951	-0.00043085
10.38718592	-0.00071316
10.42054233	-0.00020272
10.45389874	0.00042267
10.48725515	-0.00087385
10.52061156	-0.00146455
10.55396797	-0.00007247
10.58732438	-0.00086186
10.62068079	-0.00022841
10.65403720	0.00001587
10.68739361	0.00025650
10.72075002	0.00006606
10.75410643	0.00008968
10.78746284	-0.00049428
10.82081925	-0.00052579
10.85417566	-0.00041116
10.88753207	-0.00033420
10.92088848	-0.00082470
10.95424489	-0.00129437
10.98760130	-0.00110159
11.02095771	-0.00075498
11.05431411	-0.00095031
11.08767052	-0.00046055
11.12102693	-0.00106413
11.15438334	-0.00073510
11.18773975	-0.00050740
11.22109616	-0.00020597
11.25445257	0.00004766
11.28780898	0.00013945
11.32116539	-0.00043461
11.35452180	-0.00108885
11.38787821	0.00036904
11.42123462	-0.00018333
11.45459103	-0.00049524
11.48794744	0.00011925
11.52130385	0.00064288
11.55466026	0.00007655
11.58801667	-0.00018021
11.62137308	0.00051433
11.65472949	-0.00042575
11.68808590	-0.00069136
11.72144231	0.00038032
11.75479871	0.00066337
11.78815512	0.00019517
11.82151153	-0.00015563
11.85486794	0.00037324
11.88822435	0.00045351
11.92158076	-0.00079460
11.95493717	0.00054024
11.98829358	0.00050442
12.02164999	-0.00002053
12.05500640	-0.00042612
12.08836281	-0.00053008
12.12171922	-0.00034843
12.15507563	-0.00015256
12.18843204	0.00049492
12.22178845	-0.00044720
12.25514486	-0.00016484
12.28850127	0.00053176
12.32185768	0.00004081
12.35521409	-0.00019563
12.38857050	-0.00000225
